aX,aY,aZ,gX,gY,gZ
-2.616,0.710,0.232,-51.147,14.648,-66.711
-2.717,0.544,0.196,-43.884,-5.310,-27.222
-2.641,0.524,0.240,-18.127,-23.437,12.878
-2.323,0.551,0.210,16.113,-42.786,38.940
-1.923,0.557,0.054,52.490,-65.125,45.532
-1.481,0.416,-0.164,81.726,-86.609,40.405
-1.016,0.164,-0.260,90.820,-107.239,35.095
-0.567,-0.024,-0.414,81.482,-126.282,43.213
-0.167,-0.102,-0.307,69.641,-147.583,58.350
0.347,-0.192,-0.111,47.119,-177.795,72.510
0.903,-0.207,0.165,20.020,-205.566,83.801
1.528,-0.272,0.463,7.446,-224.365,86.121
2.062,-0.300,0.717,2.747,-234.253,70.557
2.676,-0.450,1.050,5.920,-231.262,41.870
3.381,-0.586,1.455,17.456,-218.933,22.095
3.942,-0.460,1.774,25.879,-208.313,11.292
4.000,-0.294,1.983,28.809,-193.665,0.000
4.000,-0.183,2.122,27.832,-166.443,-10.437
4.000,-0.106,2.145,25.635,-132.874,-24.658
4.000,-0.053,2.038,29.480,-99.243,-40.649
4.000,-0.013,1.767,39.917,-67.322,-60.730
4.000,-0.025,1.473,50.903,-38.147,-82.825
3.875,-0.027,1.218,59.570,-14.954,-96.863
3.438,-0.018,1.005,64.209,0.732,-101.929
3.033,-0.024,0.834,65.735,15.015,-97.961
2.685,-0.011,0.682,65.430,33.752,-83.252
2.416,0.053,0.576,63.477,58.411,-59.875
2.163,0.137,0.467,56.641,83.740,-33.142
1.951,0.201,0.367,46.021,108.887,-8.606
1.764,0.243,0.274,35.522,132.751,10.925
1.626,0.300,0.178,29.175,155.457,25.269
1.557,0.317,0.143,27.649,177.246,37.048
1.558,0.367,0.067,24.292,187.683,48.218
1.691,0.479,0.022,20.142,190.674,60.425
1.948,0.676,-0.002,13.794,192.627,77.759
2.272,0.953,-0.025,0.549,196.472,95.642
2.551,1.225,-0.044,-22.156,205.139,106.140
2.743,1.417,-0.090,-55.298,219.666,103.210
2.760,1.488,-0.229,-88.745,231.750,82.825
2.641,1.394,-0.418,-112.061,238.037,50.781
2.521,1.240,-0.677,-121.277,232.178,15.442
2.438,1.082,-0.942,-118.591,218.811,-12.024
2.404,1.023,-1.144,-118.225,205.811,-31.860
2.354,1.075,-1.385,-130.371,193.604,-44.495
2.211,1.124,-1.665,-153.198,179.565,-56.580
1.967,1.149,-1.896,-187.744,156.433,-75.378
1.596,1.182,-1.979,-230.774,109.802,-105.286
1.062,1.216,-1.869,-275.085,29.053,-148.254
0.459,1.165,-1.424,-303.406,-85.999,-210.510
-0.139,1.000,-0.714,-255.676,-342.712,-354.004
-0.903,-0.093,1.050,-192.627,-377.991,-386.047
-0.858,-0.643,1.765,-113.220,-311.707,-367.554
-0.870,-0.688,2.094,-45.044,-176.270,-308.105
-1.331,-0.407,2.161,-19.531,-27.222,-235.474
-1.947,-0.307,2.156,-38.269,82.153,-184.875
-2.279,-0.533,2.001,-78.430,121.765,-164.612
-2.336,-0.959,1.839,-72.876,31.677,-159.119
-1.944,-1.273,1.361,-30.457,-27.466,-140.503
-1.638,-1.138,1.223,-7.690,-62.195,-109.314
-1.332,-0.956,1.110,-8.240,-71.960,-76.599
-1.066,-0.863,1.102,-15.198,-58.838,-44.739
-0.818,-0.887,1.090,-27.344,20.203,13.855
-0.457,-0.830,0.598,-29.175,57.678,36.804
-0.320,-0.694,0.271,-14.648,73.730,48.401
-0.149,-0.559,0.022,0.549,66.223,54.382
0.028,-0.416,-0.126,12.268,47.974,57.983
0.217,-0.283,-0.199,17.761,32.349,60.852
0.415,-0.217,-0.235,14.221,24.109,64.880
0.592,-0.150,-0.286,4.944,20.508,67.932
0.726,-0.104,-0.334,-3.845,20.996,67.444
0.834,-0.097,-0.395,-9.766,22.583,61.829
0.900,-0.127,-0.460,-12.268,21.851,51.941
0.906,-0.177,-0.495,-12.939,18.738,39.734
0.883,-0.222,-0.452,-15.259,13.489,29.114
0.869,-0.283,-0.366,-19.775,5.310,22.278
0.844,-0.350,-0.250,-23.071,-9.277,12.817
0.842,-0.490,0.005,-23.315,-11.475,11.169
0.827,-0.544,0.093,-20.325,-10.254,9.521
0.807,-0.603,0.138,-17.334,-6.714,9.155
0.776,-0.644,0.147,-13.428,-1.892,10.315
0.743,-0.661,0.145,-10.315,3.296,12.878
0.746,-0.659,0.134,-10.193,7.324,17.456
0.761,-0.635,0.140,-11.536,10.193,23.682
