aX,aY,aZ,gX,gY,gZ
0.584,0.066,0.134,14.465,104.187,-113.342
0.536,0.130,0.111,12.085,96.741,-123.596
0.497,0.184,0.102,8.118,92.407,-127.869
0.464,0.243,0.105,2.258,89.600,-127.930
0.429,0.299,0.115,-4.761,87.585,-126.953
0.378,0.369,0.133,-12.085,84.778,-128.296
0.327,0.466,0.150,-18.311,81.543,-131.958
0.275,0.579,0.172,-21.790,75.867,-136.353
0.198,0.678,0.187,-22.644,67.078,-141.907
0.101,0.772,0.194,-23.682,56.702,-149.353
-0.001,0.842,0.177,-25.879,45.959,-158.386
-0.105,0.879,0.134,-28.503,35.645,-167.297
-0.194,0.907,0.083,-30.823,27.222,-173.767
-0.278,0.946,0.044,-33.447,19.775,-175.110
-0.378,1.002,0.004,-39.795,11.963,-170.166
-0.461,1.058,-0.026,-50.781,6.104,-159.302
-0.481,1.096,-0.051,-64.636,2.808,-142.700
-0.485,1.165,-0.034,-80.444,1.221,-120.300
-0.470,1.182,-0.022,-113.159,5.371,-71.472
-0.330,1.153,0.061,-126.038,9.033,-50.964
-0.243,1.147,0.117,-138.855,10.132,-35.095
-0.184,1.099,0.161,-148.682,7.935,-26.611
-0.119,1.030,0.186,-154.480,3.418,-25.574
-0.093,0.937,0.215,-154.968,-5.798,-28.687
-0.089,0.762,0.165,-153.198,-21.423,-32.166
-0.111,0.508,0.061,-153.687,-40.955,-39.551
-0.125,0.269,-0.049,-158.325,-61.340,-52.307
-0.101,0.074,-0.126,-164.368,-79.834,-63.232
-0.023,-0.009,-0.090,-174.500,-96.558,-65.063
0.094,-0.001,0.115,-193.787,-109.558,-55.481
0.250,-0.153,0.425,-223.816,-117.249,-37.720
0.474,-0.479,0.700,-261.475,-117.432,-15.625
0.549,-0.887,1.322,-291.199,-115.417,12.756
0.633,-1.342,1.483,-302.307,-130.066,26.550
0.989,-1.725,1.847,-301.025,-102.112,13.611
1.168,-2.115,2.377,-286.133,-66.895,13.428
1.031,-2.374,2.807,-260.681,-47.424,9.766
0.818,-2.392,3.136,-222.778,-25.940,-8.484
1.074,-2.349,3.508,-185.059,10.193,-17.151
0.849,-2.642,3.551,-145.508,18.738,-18.616
1.113,-2.480,3.435,-94.299,11.108,-59.998
0.906,-2.341,2.659,7.812,-78.186,-78.491
0.839,-2.252,2.173,54.565,-104.980,-101.685
0.747,-2.057,1.756,94.238,-114.075,-120.300
0.647,-1.823,1.369,120.728,-112.976,-127.747
0.553,-1.609,1.031,135.681,-100.342,-118.469
0.511,-1.432,0.827,134.949,-78.979,-94.910
0.486,-1.271,0.651,120.483,-52.551,-65.979
0.492,-1.145,0.535,102.966,8.118,-11.902
0.524,-0.877,0.414,77.393,29.724,7.385
0.521,-0.780,0.375,68.970,41.748,19.043
0.523,-0.681,0.340,65.186,44.617,23.254
0.520,-0.596,0.328,64.026,41.138,23.865
0.521,-0.512,0.302,62.683,35.217,22.217
0.514,-0.463,0.272,59.509,30.212,19.653
0.503,-0.418,0.245,53.345,27.771,17.395
0.494,-0.385,0.226,44.983,28.198,16.785
0.471,-0.370,0.227,35.828,31.433,17.334
0.435,-0.356,0.250,25.940,36.926,17.761
0.397,-0.354,0.282,16.235,42.175,18.250
0.354,-0.364,0.318,7.996,44.800,18.860
0.299,-0.406,0.384,-2.563,43.396,18.250
0.287,-0.432,0.409,-4.639,40.161,17.029
0.280,-0.457,0.432,-4.822,36.011,15.076
0.279,-0.479,0.451,-4.639,30.945,12.268
0.281,-0.500,0.463,-4.272,26.001,8.972
0.287,-0.517,0.472,-3.784,22.217,6.042
-1.777,-0.624,0.281,-48.279,-148.193,80.811
-1.741,-0.591,0.383,-50.964,-159.912,109.314
-1.628,-0.548,0.469,-49.072,-175.903,133.240
-1.464,-0.500,0.504,-42.969,-195.374,149.902
-1.325,-0.451,0.514,-36.316,-215.454,159.058
-1.205,-0.424,0.510,-32.593,-232.544,162.231
-1.113,-0.393,0.520,-31.921,-244.019,164.917
-1.044,-0.332,0.581,-34.485,-250.366,171.509
-0.923,-0.256,0.714,-43.518,-249.756,186.523
-0.660,-0.217,0.871,-60.242,-242.249,210.510
-0.307,-0.174,1.088,-75.562,-227.295,239.929
0.148,-0.129,1.318,-88.806,-202.576,268.738
0.662,-0.107,1.538,-99.487,-168.945,292.419
1.151,-0.118,1.719,-106.323,-130.798,308.167
1.833,-0.314,2.000,-105.042,-94.360,313.049
1.706,-0.234,2.078,-91.187,-98.389,294.800
1.844,-0.205,1.952,-63.293,-92.896,266.052
2.023,-0.207,1.849,-29.907,-57.739,236.328
2.147,-0.178,1.771,0.854,-26.550,212.952
2.081,-0.157,1.646,15.259,-23.682,193.970
2.082,-0.115,1.572,23.071,-34.607,171.021
2.203,-0.074,1.586,30.029,-44.250,152.344
2.325,-0.051,1.617,33.997,-48.584,141.663
2.419,-0.038,1.606,36.133,-46.814,130.859
2.468,-0.011,1.573,41.504,-35.400,116.638
2.483,0.018,1.511,48.462,-14.832,101.379
2.457,0.031,1.415,53.406,10.254,88.928
2.433,0.058,1.309,55.664,36.316,79.712
2.427,0.074,1.206,54.688,60.059,73.059
2.415,0.051,1.093,49.805,79.590,68.909
2.384,0.006,0.994,43.884,93.506,63.843
2.321,-0.049,0.909,39.490,103.394,55.115
2.232,-0.113,0.829,37.109,111.877,43.213
2.113,-0.164,0.758,35.583,120.300,30.212
1.982,-0.197,0.699,35.095,128.967,17.700
1.829,-0.223,0.649,34.729,137.207,6.470
1.685,-0.225,0.611,33.936,144.958,-2.502
1.560,-0.210,0.592,33.020,151.428,-10.010
1.457,-0.188,0.572,31.311,156.799,-16.907
1.345,-0.171,0.543,29.541,160.828,-24.048
1.229,-0.139,0.515,28.687,163.269,-32.898
1.116,-0.091,0.480,29.236,163.391,-43.457
1.011,-0.031,0.437,30.823,159.912,-54.993
0.911,0.028,0.386,32.104,152.466,-68.481
0.816,0.097,0.335,32.532,142.517,-82.886
0.723,0.177,0.294,31.860,131.470,-96.252
0.633,0.272,0.266,30.884,120.789,-108.215
0.542,0.397,0.249,28.381,110.840,-119.446
0.442,0.559,0.224,24.841,102.661,-129.333
0.285,0.730,0.201,20.203,95.947,-139.343
0.073,0.870,0.194,12.390,89.905,-150.024
-0.136,0.955,0.160,2.563,85.083,-160.339
-0.322,0.999,0.115,-7.202,79.590,-164.612
-0.486,1.020,0.064,-16.235,72.266,-160.156
-0.642,1.026,0.027,-26.184,64.026,-148.193
-0.757,1.033,0.003,-36.255,56.641,-130.737
-0.807,1.040,-0.007,-46.265,50.842,-109.131
-0.812,1.017,-0.013,-57.312,44.067,-84.839
-0.768,0.979,-0.029,-70.068,34.363,-61.401
-0.672,0.935,-0.009,-98.755,11.230,-26.428
-0.443,0.849,0.046,-112.732,0.305,-16.235
-0.342,0.782,0.053,-125.427,-10.254,-11.292
-0.256,0.691,0.051,-136.169,-22.278,-11.292
-0.214,0.591,0.104,-146.423,-37.048,-14.404
-0.139,0.447,0.077,-152.527,-51.941,-23.560
-0.076,0.324,0.139,-150.330,-69.702,-35.583
0.038,0.213,0.211,-154.053,-87.585,-43.579
0.156,0.029,0.252,-165.588,-103.516,-48.645
0.255,-0.183,0.397,-181.213,-113.220,-52.979
0.350,-0.354,0.587,-201.843,-112.854,-56.091
0.445,-0.551,0.695,-227.112,-106.384,-43.579
0.518,-1.147,1.606,-221.252,-130.554,-54.504
0.573,-1.473,1.856,-204.041,-130.920,-65.430
0.753,-1.725,2.000,-184.998,-102.234,-73.792
0.908,-1.844,2.208,-165.955,-65.552,-80.444
0.865,-1.964,2.343,-145.142,-45.288,-77.148
0.825,-2.069,2.336,-123.779,-39.612,-74.707
0.813,-2.175,2.243,-101.196,-42.175,-74.402
0.858,-2.146,2.066,-77.576,-51.575,-76.538
0.860,-2.237,1.892,-56.946,-57.129,-73.853
0.847,-2.251,1.709,-40.039,-56.946,-71.899
0.868,-2.159,1.617,-24.048,-45.837,-71.716
0.837,-2.075,1.509,-7.202,-25.879,-63.965
0.813,-1.962,1.330,7.141,-9.033,-54.138
0.761,-1.898,1.225,34.973,8.118,-43.030
0.741,-1.615,1.016,45.898,13.855,-39.124
0.695,-1.472,0.908,56.091,17.517,-34.363
0.649,-1.338,0.796,65.247,21.301,-29.358
0.604,-1.206,0.687,71.716,24.597,-23.437
0.564,-1.079,0.591,75.439,28.137,-16.541
0.539,-0.978,0.497,76.904,32.043,-9.644
0.507,-0.870,0.430,76.660,35.400,-4.028
0.458,-0.792,0.382,75.012,36.865,-1.343
0.384,-0.727,0.366,72.021,37.415,-0.732
0.352,-0.655,0.338,67.871,36.377,-1.038
0.340,-0.608,0.306,65.796,32.837,-0.854
0.313,-0.564,0.278,62.744,29.480,-0.916
0.291,-0.510,0.254,57.373,27.161,-1.831
0.265,-0.478,0.243,50.293,25.818,-2.563
0.236,-0.457,0.242,42.480,25.635,-1.892
0.207,-0.442,0.250,19.592,25.330,0.977
0.175,-0.436,0.280,25.635,24.780,3.235
0.175,-0.443,0.291,22.156,22.888,5.188
0.180,-0.449,0.301,18.860,19.287,6.165
0.193,-0.458,0.313,16.296,15.259,6.409
0.213,-0.467,0.329,13.794,11.780,5.859
0.238,-0.479,0.345,10.742,9.521,5.981
0.268,-0.484,0.365,7.629,8.240,6.775
0.301,-0.494,0.403,4.456,8.057,8.057
0.337,-0.504,0.440,1.465,8.850,8.911
0.367,-0.528,0.470,-0.916,9.583,8.911
0.388,-0.557,0.495,-2.502,9.460,7.507
0.399,-0.580,0.513,-2.747,8.118,4.333
0.398,-0.600,0.528,-1.709,5.615,0.305
0.391,-0.620,0.536,-0.427,3.174,-2.869
0.382,-0.633,0.546,0.549,1.099,-5.798
0.380,-0.641,0.560,0.732,0.122,-6.836
0.388,-0.650,0.572,0.244,0.061,-6.409
0.399,-0.659,0.581,-0.671,0.793,-5.127
1.061,-0.200,1.751,-78.979,-85.022,305.115
1.501,-0.126,1.900,-71.838,-49.377,318.726
2.088,-0.172,2.230,-64.453,-21.973,323.364
2.057,-0.059,2.093,-53.284,-32.288,310.120
2.221,-0.016,1.970,-31.250,-9.949,289.490
2.432,0.003,1.907,1.038,27.954,258.057
2.475,0.021,1.845,37.354,38.086,217.285
2.399,0.122,1.677,62.012,13.184,174.500
2.328,0.192,1.511,75.745,-18.250,140.930
2.334,0.259,1.366,85.205,-41.626,117.188
2.385,0.298,1.305,91.492,-50.476,102.905
2.431,0.336,1.239,91.492,-45.898,93.750
2.474,0.338,1.138,85.632,-25.513,86.548
2.474,0.308,1.064,77.148,7.019,82.397
2.436,0.269,0.986,66.833,45.166,78.735
2.370,0.220,0.911,56.458,81.116,73.120
2.287,0.171,0.848,48.401,106.995,65.247
2.201,0.138,0.796,43.152,121.765,55.847
2.108,0.115,0.746,39.612,128.174,45.898
2.004,0.075,0.691,36.621,130.127,34.363
1.887,0.046,0.633,33.691,130.005,20.935
1.760,0.026,0.583,31.067,130.493,7.141
1.628,0.025,0.537,28.442,133.545,-4.272
1.500,0.041,0.499,26.245,138.062,-14.404
1.365,0.056,0.460,23.865,142.700,-22.949
1.224,0.070,0.421,21.057,145.996,-30.701
1.097,0.094,0.387,18.250,147.034,-38.086
0.983,0.122,0.354,15.686,144.775,-45.471
0.873,0.153,0.322,13.855,138.977,-53.711
0.762,0.188,0.291,12.390,130.432,-63.110
0.657,0.229,0.261,11.230,120.117,-73.547
0.576,0.282,0.234,10.254,108.215,-83.557
0.518,0.353,0.212,9.338,95.398,-91.370
0.472,0.410,0.195,8.240,82.886,-96.863
0.420,0.465,0.178,5.676,73.547,-101.440
0.365,0.523,0.155,1.648,68.909,-106.384
0.298,0.591,0.131,-2.808,67.627,-111.267
0.208,0.668,0.114,-7.446,67.017,-115.784
0.101,0.741,0.099,-12.268,65.308,-120.422
0.005,0.815,0.078,-17.029,61.584,-125.061
-0.069,0.898,0.054,-19.348,55.908,-128.784
-0.142,0.974,0.031,-19.714,47.791,-132.385
-0.232,1.026,-0.007,-22.217,38.208,-136.780
-0.339,1.092,-0.050,-28.931,28.870,-142.822
-0.448,1.169,-0.097,-38.940,20.874,-149.475
-0.547,1.224,-0.152,-50.354,14.526,-152.893
-0.657,1.265,-0.193,-62.439,8.606,-151.794
-0.757,1.277,-0.222,-75.684,1.526,-146.606
-0.788,1.279,-0.257,-89.050,-7.751,-136.536
-0.771,1.261,-0.211,-120.544,-39.185,-112.061
-0.584,1.164,-0.214,-140.503,-58.777,-99.792
-0.544,1.007,-0.160,-155.579,-75.500,-96.313
-0.419,0.838,-0.150,-173.340,-86.731,-96.863
-0.358,0.605,-0.123,-189.941,-96.191,-93.933
-0.358,0.456,0.009,-205.322,-103.699,-93.872
-0.281,0.259,0.211,-223.389,-103.638,-93.384
-0.162,0.043,0.456,-245.300,-96.741,-72.388
0.135,-0.744,1.180,-291.199,-75.195,-56.213
0.389,-1.331,1.605,-312.500,-59.204,-36.926
0.563,-1.868,2.257,-319.641,-53.955,-18.250
0.519,-2.360,2.731,-301.270,-74.463,-20.874
0.784,-2.438,3.379,-266.174,-61.279,-65.186
0.913,-2.711,3.941,-222.412,-43.335,-82.397
0.945,-2.797,4.000,-138.184,-15.686,-70.007
0.835,-3.042,3.557,-86.792,-12.085,-75.012
0.952,-2.757,3.128,-31.616,-27.100,-112.183
0.863,-2.597,2.646,22.400,-64.697,-133.240
0.768,-2.388,2.026,67.627,-105.896,-133.789
0.743,-2.178,1.499,99.792,-118.469,-127.563
0.706,-1.914,1.148,113.586,-101.379,-113.037
0.704,-1.695,0.925,110.046,-65.308,-85.693
0.688,-1.503,0.781,98.450,-20.935,-51.514
0.676,-1.323,0.685,85.754,18.555,-21.301
0.680,-1.180,0.608,78.247,50.415,0.610
0.672,-1.037,0.539,75.317,70.007,12.207
0.637,-0.901,0.499,77.148,72.876,13.123
0.580,-0.781,0.446,81.421,62.744,8.118
0.532,-0.671,0.388,86.243,36.011,-2.258
0.405,-0.492,0.291,88.623,31.067,-4.272
0.353,-0.437,0.249,81.604,33.630,-1.526
0.314,-0.397,0.228,70.984,41.199,4.028
0.276,-0.373,0.222,58.594,50.049,10.681
0.224,-0.370,0.239,45.532,57.312,14.526
0.175,-0.378,0.257,34.790,60.425,14.465
0.126,-0.395,0.274,27.100,58.594,12.634
0.081,-0.415,0.297,22.217,53.040,10.193
0.052,-0.439,0.317,18.860,45.776,7.690
0.035,-0.463,0.336,16.968,38.330,5.920
0.028,-0.492,0.347,16.479,31.433,4.089
0.025,-0.517,0.351,16.296,25.940,2.502
0.034,-0.537,0.353,15.747,21.851,1.648
0.050,-0.553,0.352,14.893,18.860,1.709
0.073,-0.565,0.357,13.062,16.968,2.930
0.105,-0.584,0.364,10.559,15.015,4.700
0.134,-0.611,0.368,7.507,13.306,6.897
0.160,-0.634,0.372,4.944,11.658,8.606
0.188,-0.654,0.384,3.235,10.010,9.705
0.223,-0.671,0.394,2.563,7.690,10.193
0.256,-0.682,0.408,2.014,5.249,10.498
0.286,-0.692,0.427,1.465,3.479,10.254
0.306,-0.697,0.457,0.854,2.258,10.010
0.334,-0.702,0.482,0.366,2.075,10.559
0.363,-0.710,0.500,0.488,2.563,11.719
0.380,-0.711,0.517,1.282,3.052,12.085
0.398,-0.711,0.535,1.831,2.014,11.353
0.415,-0.713,0.545,2.197,-0.061,10.071
0.430,-0.712,0.547,3.235,-2.380,8.667
0.443,-0.713,0.543,4.211,-4.028,7.690
0.457,-0.716,0.535,4.822,-4.883,6.958
0.468,-0.720,0.522,5.615,-5.554,6.592
0.480,-0.726,0.510,6.348,-6.714,6.714
0.496,-0.730,0.496,6.836,-7.935,6.592
0.511,-0.731,0.481,7.141,-8.850,6.653
0.528,-0.729,0.470,7.446,-9.888,6.714
0.546,-0.726,0.457,7.935,-10.437,6.836
0.563,-0.723,0.445,8.301,-10.193,6.836
0.578,-0.721,0.435,8.118,-9.155,6.958
0.586,-0.718,0.425,7.568,-6.958,7.141
0.588,-0.712,0.424,6.836,-4.944,7.385
-1.874,-0.553,-0.142,-36.377,-121.704,17.090
-1.926,-0.556,-0.058,-40.894,-142.029,37.964
-1.901,-0.556,0.004,-46.875,-163.696,58.960
-1.823,-0.561,0.061,-54.016,-182.373,81.970
-1.742,-0.558,0.152,-60.242,-195.190,104.065
-1.655,-0.556,0.264,-66.406,-202.454,124.023
-1.555,-0.562,0.376,-71.777,-206.177,143.066
-1.453,-0.562,0.479,-75.012,-207.947,160.767
-1.357,-0.562,0.574,-76.477,-207.825,175.720
-1.224,-0.556,0.689,-75.378,-206.665,189.758
-1.047,-0.503,0.835,-73.975,-205.627,206.238
-0.809,-0.447,0.971,-78.064,-203.735,226.135
-0.558,-0.414,1.142,-86.792,-196.899,246.399
-0.286,-0.379,1.324,-95.703,-181.274,266.479
0.036,-0.323,1.513,-101.135,-155.273,287.964
0.528,-0.212,1.757,-101.318,-120.972,311.890
1.171,-0.086,1.981,-111.877,-31.860,365.967
2.416,0.008,2.275,-117.432,18.127,378.479
2.894,-0.041,2.353,-109.863,71.899,373.779
3.244,-0.166,2.401,-81.116,113.586,348.816
3.471,-0.031,2.311,-35.645,115.417,298.828
3.503,0.005,2.100,13.550,85.999,243.347
3.653,0.023,2.003,57.129,58.228,186.096
3.803,0.146,1.845,84.351,25.513,130.859
3.798,0.135,1.755,98.816,6.226,91.309
3.705,0.145,1.655,104.492,6.287,58.228
3.482,0.166,1.521,105.164,27.527,30.334
3.152,0.172,1.392,105.225,67.993,10.193
2.808,0.175,1.263,104.187,116.211,-5.005
2.454,0.172,1.128,102.478,156.555,-18.188
2.087,0.163,0.994,98.999,181.824,-30.762
1.751,0.166,0.858,95.093,190.857,-44.373
1.452,0.171,0.736,93.079,187.256,-58.960
1.169,0.183,0.634,92.407,177.063,-73.120
0.904,0.211,0.537,91.003,166.443,-85.693
0.665,0.272,0.451,88.135,158.081,-95.398
0.446,0.347,0.371,85.327,152.344,-101.318
0.241,0.441,0.288,81.848,150.391,-104.248
0.053,0.556,0.211,76.172,150.574,-106.018
-0.273,0.827,-0.018,56.030,142.212,-105.957
-0.393,0.955,-0.128,44.800,128.296,-107.422
-0.485,1.089,-0.220,32.166,108.948,-111.084
-0.552,1.231,-0.295,19.348,87.036,-115.967
-0.606,1.334,-0.359,5.859,66.528,-120.361
-0.669,1.426,-0.423,-10.071,50.171,-124.329
-0.759,1.507,-0.465,-27.893,40.405,-127.197
-0.862,1.585,-0.481,-44.434,36.560,-128.418
-0.946,1.647,-0.510,-57.678,34.973,-126.099
-0.932,1.793,-0.507,-73.608,27.954,-118.347
-0.937,1.834,-0.622,-88.440,14.404,-106.812
-0.854,1.942,-0.623,-104.065,-3.174,-98.816
-0.727,1.975,-0.616,-130.859,-22.949,-89.905
-0.609,2.012,-0.525,-162.292,-40.833,-80.872
-0.515,2.040,-0.411,-190.918,-56.946,-77.698
-0.455,2.033,-0.326,-215.698,-68.298,-83.069
-0.305,2.064,-0.095,-244.812,-70.068,-89.417
-0.306,1.943,0.260,-271.973,-68.909,-98.083
-0.315,1.459,0.607,-295.715,-72.021,-106.079
-0.244,0.804,0.992,-324.768,-80.444,-108.521
-0.134,0.020,1.566,-354.248,-88.135,-104.431
-0.035,-0.929,2.414,-383.423,-85.449,-96.558
-0.362,-2.072,3.598,-406.616,-73.547,-76.172
0.198,-2.688,4.000,-396.545,-44.556,-75.134
0.864,-3.247,4.000,-341.248,1.160,-75.684
0.942,-3.913,4.000,-262.085,16.846,-60.669
0.886,-4.000,4.000,-184.387,-0.793,-84.900
1.020,-4.000,4.000,-100.708,-52.124,-153.320
1.026,-3.977,3.876,-14.648,-116.333,-207.153
0.700,-3.786,2.855,57.556,-173.157,-217.896
0.577,-3.440,1.926,107.727,-171.875,-212.341
0.509,-3.090,1.343,133.362,-126.648,-179.626
0.395,-2.739,0.962,131.226,-75.012,-128.296
0.364,-2.419,0.770,111.511,-25.330,-70.801
0.328,-2.172,0.708,90.332,13.977,-17.456
0.363,-1.913,0.673,75.745,46.997,19.287
0.390,-1.651,0.631,73.120,65.247,38.757
0.354,-1.395,0.603,78.918,62.683,43.457
0.317,-1.138,0.537,85.083,47.485,39.551
0.289,-0.905,0.459,90.088,34.729,36.804
0.270,-0.721,0.367,92.590,32.288,37.109
0.237,-0.562,0.269,91.431,38.635,39.001
0.197,-0.435,0.198,86.487,48.462,40.833
0.165,-0.341,0.158,80.139,55.115,39.917
0.125,-0.268,0.136,73.242,55.664,37.170
0.085,-0.236,0.113,67.505,50.354,33.081
0.061,-0.225,0.091,62.805,42.725,27.832
0.045,-0.223,0.074,53.650,27.344,14.526
0.015,-0.255,0.081,47.913,22.888,10.193
0.005,-0.295,0.109,41.748,21.057,8.423
0.003,-0.334,0.146,35.461,21.118,8.362
0.014,-0.381,0.188,29.602,21.667,9.399
0.029,-0.429,0.232,24.780,20.935,9.766
0.038,-0.479,0.275,19.714,18.860,8.484
0.049,-0.533,0.301,15.320,15.503,6.226
0.056,-0.581,0.319,12.634,10.925,3.784
0.061,-0.620,0.330,11.536,5.493,1.526
0.076,-0.650,0.339,10.986,0.000,0.061
0.103,-0.679,0.349,10.010,-5.493,0.671
0.176,-0.720,0.376,5.798,-10.376,3.357
0.221,-0.738,0.406,2.502,-8.728,7.690
0.262,-0.751,0.432,-0.305,-6.775,11.841
0.303,-0.762,0.463,-2.625,-4.395,14.038
0.338,-0.771,0.499,-4.028,-1.770,14.587
0.367,-0.774,0.530,-4.028,-0.183,14.404
0.392,-0.778,0.557,-3.235,-0.122,13.184
0.417,-0.781,0.575,-1.770,-1.282,11.169
0.439,-0.784,0.587,0.244,-2.869,9.399
0.453,-0.791,0.586,2.380,-4.578,7.507
0.468,-0.803,0.581,4.456,-5.615,5.615
0.476,-0.808,0.575,6.409,-5.676,4.211
0.490,-0.807,0.563,7.996,-4.944,3.662
0.505,-0.806,0.548,9.155,-3.662,3.906
0.527,-0.805,0.534,9.705,-1.892,4.456
0.547,-0.806,0.525,9.888,0.427,4.883
0.563,-0.807,0.523,9.888,3.601,5.249
0.572,-0.811,0.520,10.376,6.714,5.554
0.570,-0.814,0.517,11.108,8.972,5.188
0.567,-0.821,0.509,11.963,9.521,4.272
0.559,-0.826,0.498,13.000,9.216,3.052
-1.865,-0.600,-0.220,-33.447,-77.637,10.071
-1.992,-0.629,-0.174,-37.292,-89.966,35.706
-2.066,-0.642,-0.081,-42.847,-98.328,65.308
-2.077,-0.662,0.040,-48.157,-107.178,94.910
-2.041,-0.712,0.129,-51.758,-120.056,121.338
-1.980,-0.765,0.202,-52.979,-136.169,141.785
-1.906,-0.824,0.296,-50.903,-154.419,157.471
-1.807,-0.835,0.381,-45.166,-174.988,169.922
-1.697,-0.850,0.477,-36.682,-196.899,183.838
-1.542,-0.850,0.568,-28.076,-217.651,198.975
-1.374,-0.837,0.662,-19.775,-233.521,214.417
-1.199,-0.801,0.785,-13.367,-243.896,229.187
-0.985,-0.758,0.934,-8.728,-247.070,243.347
-0.711,-0.668,1.096,-6.226,-241.821,261.597
-0.340,-0.562,1.348,-7.874,-228.394,287.170
0.156,-0.447,1.591,-16.174,-204.163,317.017
0.737,-0.347,1.824,-27.527,-124.512,387.390
2.238,-0.044,2.221,-39.124,-75.623,417.297
3.056,0.010,2.580,-37.109,-29.663,430.176
3.304,0.103,2.460,-27.466,4.639,418.823
3.770,0.130,2.568,13.367,68.848,382.935
3.992,0.164,2.539,79.407,76.233,314.514
3.998,0.417,2.280,138.672,18.616,215.515
3.952,0.603,2.032,175.171,-39.124,131.836
3.831,0.694,1.835,187.744,-69.214,79.163
3.620,0.783,1.585,182.312,-65.186,49.988
3.367,0.794,1.414,167.664,-19.592,43.396
3.120,0.780,1.314,147.156,50.049,45.898
2.857,0.754,1.196,126.160,115.417,44.983
2.564,0.703,1.056,109.802,159.363,35.828
2.266,0.654,0.916,99.304,181.519,20.203
1.970,0.630,0.794,94.604,184.998,1.160
1.672,0.583,0.675,91.064,178.162,-17.822
1.392,0.527,0.545,85.693,169.922,-34.119
1.139,0.497,0.432,78.735,167.236,-44.495
0.913,0.464,0.338,70.190,171.936,-49.683
0.705,0.436,0.251,59.265,180.298,-51.086
0.525,0.435,0.187,46.509,188.477,-50.415
0.378,0.443,0.135,33.997,192.627,-49.561
0.261,0.476,0.079,23.926,188.538,-51.392
0.157,0.541,0.017,17.212,173.645,-58.044
0.050,0.666,-0.035,13.428,149.719,-70.068
-0.077,0.828,-0.076,9.949,120.850,-87.097
-0.215,0.976,-0.123,4.333,92.285,-107.483
-0.342,1.108,-0.174,-4.395,66.101,-125.854
-0.472,1.244,-0.207,-14.954,44.006,-137.878
-0.606,1.383,-0.223,-28.198,27.527,-143.188
-0.748,1.519,-0.244,-41.687,20.020,-143.860
-0.879,1.648,-0.260,-52.429,22.705,-141.418
-1.001,1.786,-0.279,-63.354,28.320,-138.794
-1.127,1.964,-0.294,-69.702,26.794,-137.573
-1.271,2.182,-0.337,-72.815,11.047,-140.686
-1.410,2.346,-0.402,-82.520,-19.104,-151.062
-1.530,2.451,-0.461,-100.952,-57.312,-164.429
-1.632,2.491,-0.421,-123.840,-88.135,-169.373
-1.622,2.475,-0.391,-149.414,-102.173,-157.715
-1.486,2.458,-0.379,-213.867,-108.459,-111.755
-0.824,2.141,-0.038,-248.840,-108.215,-92.896
-0.443,1.690,0.224,-287.964,-113.159,-80.688
-0.166,1.110,0.788,-325.745,-120.911,-79.285
0.142,0.332,1.584,-357.422,-114.685,-81.177
0.518,-0.688,2.179,-386.475,-90.393,-69.275
0.757,-2.071,3.638,-399.353,-93.079,-44.434
1.301,-3.448,4.000,-345.520,-49.500,-79.102
2.371,-3.701,4.000,-289.612,61.218,-95.154
2.186,-4.000,4.000,-215.332,48.584,-74.463
1.978,-4.000,4.000,-132.690,-24.231,-108.398
1.878,-3.963,3.830,-48.828,-100.708,-202.209
1.635,-3.741,2.929,24.658,-146.790,-265.747
1.238,-3.344,1.944,82.092,-162.170,-290.710
0.831,-3.112,1.341,109.985,-123.840,-271.545
0.556,-2.822,1.004,106.750,-57.251,-222.168
0.380,-2.572,0.831,88.318,3.296,-162.109
0.325,-2.407,0.737,75.317,42.542,-104.309
0.258,-2.237,0.547,71.838,55.115,-64.819
0.184,-1.915,0.350,76.172,54.993,-48.523
0.054,-1.582,0.198,85.449,51.819,-44.739
-0.063,-1.282,0.056,92.896,44.067,-22.339
-0.102,-0.904,-0.167,97.900,43.457,-4.517
-0.094,-0.754,-0.236,94.604,46.997,10.803
-0.105,-0.629,-0.277,87.830,50.781,23.376
-0.131,-0.535,-0.295,78.003,53.406,32.166
-0.155,-0.472,-0.287,67.261,53.284,37.231
-0.184,-0.421,-0.256,56.396,50.110,39.185
-0.222,-0.385,-0.197,46.265,46.326,39.001
-0.226,-0.382,-0.114,36.865,43.457,38.513
-0.283,-0.396,-0.001,29.541,39.612,39.063
-0.296,-0.466,0.165,21.301,24.231,33.752
-0.273,-0.500,0.220,20.874,13.489,30.701
-0.214,-0.520,0.259,22.400,2.625,27.405
-0.118,-0.537,0.293,22.583,-7.080,24.475
-0.076,-0.563,0.265,20.447,-15.320,22.705
-0.003,-0.581,0.273,17.639,-16.296,20.691
0.077,-0.595,0.287,15.503,-14.404,18.738
0.140,-0.607,0.293,10.559,-13.855,17.395
0.272,-0.649,0.317,8.057,-13.062,16.357
0.327,-0.665,0.335,6.653,-12.024,15.808
0.374,-0.681,0.356,5.859,-11.414,15.381
0.421,-0.698,0.375,4.395,-11.108,14.160
0.463,-0.709,0.401,3.296,-11.414,12.451
0.500,-0.718,0.425,3.174,-11.719,11.230
0.524,-0.730,0.464,3.296,-11.597,10.315
0.548,-0.737,0.485,2.441,-10.803,8.484
0.562,-0.750,0.505,1.343,-8.911,3.784
0.584,-0.767,0.541,0.977,-7.874,1.282
